1,22,1,9,41
501,12,2,8,98
1001,25,3,10,139
1501,27,4,10,119
2001,38,5,8,413
2501,29,6,8,33
3001,11,7,8,116
3501,12,8,8,150
4001,2,9,8,204
4501,31,10,6,328
5001,28,11,7,36
5501,11,12,10,149
6001,11,13,9,179
6501,15,14,5,513
7001,24,15,8,1208
7501,38,16,10,44
8001,39,17,9,113
8501,18,18,8,80
9001,7,19,8,617
9501,32,20,8,33
10001,11,21,7,178
10501,26,22,10,553
2,32,1,10,25
502,31,2,9,72
1002,30,3,9,153
1502,13,4,9,94
2002,32,5,7,360
2502,7,6,8,44
3002,4,7,9,84
3502,33,8,8,168
4002,1,9,6,231
4502,16,10,8,373
5002,17,11,8,46
5502,21,12,7,212
6002,31,13,8,461
6502,21,14,5,475
7002,5,15,6,927
7502,14,16,9,20
8002,4,17,8,36
8502,4,18,8,89
9002,30,19,7,611
9502,35,20,10,59
10002,15,21,5,126
10502,5,22,10,319
3,11,1,10,60
503,13,2,9,92
1003,26,3,10,125
1503,4,4,10,92
2003,22,5,9,374
2503,35,6,10,43
3003,18,7,10,85
3503,11,8,10,146
4003,25,9,8,236
4503,38,10,9,371
5003,6,11,9,41
5503,20,12,8,156
6003,23,13,7,523
6503,3,14,8,464
7003,19,15,9,1115
7503,29,16,10,24
8003,11,17,8,94
8503,23,18,9,61
9003,12,19,9,554
9503,4,20,7,57
10003,36,21,10,118
10503,5,22,9,437
4,31,1,8,68
504,31,2,9,98
1004,37,3,10,119
1504,22,4,8,97
2004,35,5,9,300
2504,34,6,9,38
3004,34,7,10,118
3504,14,8,10,120
4004,34,9,7,283
4504,26,10,10,400
5004,33,11,9,74
5504,15,12,7,141
6004,10,13,7,220
6504,2,14,10,339
7004,12,15,7,598
7504,34,16,9,36
8004,38,17,8,40
8504,11,18,9,59
9004,7,19,7,626
9504,16,20,10,30
10004,20,21,9,76
10504,6,22,9,529
5,13,1,9,61
505,31,2,8,50
1005,39,3,10,83
1505,6,4,8,111
2005,30,5,10,220
2505,38,6,8,33
3005,34,7,9,124
3505,28,8,8,169
4005,26,9,7,241
4505,14,10,9,392
5005,16,11,10,41
5505,35,12,9,180
6005,8,13,7,359
6505,35,14,8,330
7005,24,15,7,632
7505,9,16,10,21
8005,24,17,9,37
8505,26,18,9,87
9005,22,19,9,561
9505,10,20,8,75
10005,24,21,6,78
10505,38,22,10,206
6,4,1,9,26
506,6,2,10,128
1006,29,3,8,127
1506,36,4,9,174
2006,5,5,6,381
2506,24,6,10,52
3006,20,7,9,123
3506,31,8,10,143
4006,26,9,10,274
4506,18,10,8,248
5006,21,11,8,57
5506,7,12,10,106
6006,6,13,7,527
6506,7,14,9,369
7006,38,15,8,601
7506,12,16,9,42
8006,16,17,10,95
8506,18,18,9,92
9006,17,19,8,586
9506,31,20,6,72
10006,13,21,10,154
10506,38,22,7,318
7,33,1,10,27
507,26,2,9,87
1007,28,3,8,98
1507,26,4,9,105
2007,7,5,7,212
